Gene;(Intercept);Selection;WNL-NL;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117900068;0;8.44E-12;-2388.822147;16454.10675;15006.31195;12720.90093;13877.31782;11893.43658;11244.0988;12338.2844;14727.10655;0.837794197;11937.97238;10961.15578;12590.71901;14897.50381;13718.63986;14578.03798;14398.06055;11829.94906;1.217085592
gene-LOC117892745;0;8.94E-12;321.9607107;808.25821;1185.177288;1387.493239;950.2376599;1497.672664;1898.900545;1448.936956;1126.976246;1.285685445;972.6789234;965.4852271;936.9024883;858.3024068;1127.546494;1035.179535;1007.009478;958.3555463;1.050768144
gene-LOC117899049;0;9.10E-12;194.3942471;951.753327;1401.600967;1001.340814;1097.743618;1645.698451;1194.43578;1312.62595;1118.231703;1.173840758;1549.036497;1440.232104;1324.903322;1442.661269;1648.316081;1470.576936;1520.518095;1438.057308;1.057341795
gene-LOC117902348;0;9.68E-12;601.9742226;7244.063015;5390.917087;7190.844147;7956.770687;6044.676531;7630.299699;7210.582306;6608.608083;1.091089412;8143.920427;9438.967376;7729.675387;6361.48781;5519.590548;6503.193323;6128.09056;8437.521063;0.726290401
gene-LOC117901442;0;1.01E-11;-3657.064805;30015.85954;31854.56742;26127.80331;27514.13679;27376.93385;22135.96522;25675.67862;29332.74342;0.875324829;33160.49736;30865.54325;32210.50527;40678.99537;35791.33124;35668.15494;37379.49385;32078.84863;1.165238014
gene-LOC117892337;0;1.14E-11;34.95419847;25.38008872;36.53906263;52.00333512;71.61521172;60.95179447;86.2180757;72.92836063;37.97416216;1.920473198;48.33187197;72.96109894;46.89109608;49.4395154;54.81785133;63.31033636;55.85590103;56.06135566;0.996335183
gene-LOC117897732;0;1.16E-11;-432.1695812;6964.882039;6425.253629;5505.714799;6398.338169;6034.227652;5166.775902;5866.447241;6298.616822;0.93138659;8047.256683;6449.561253;8927.69692;8323.669233;7367.330192;8541.34187;8077.447098;7808.171619;1.034486368
gene-LOC117901954;0;1.24E-11;124.3957232;607.1698148;357.895434;357.3846222;797.3872827;424.0503415;474.1994163;565.2123468;440.8166236;1.282193811;1128.54921;1271.322162;947.9356873;855.8709552;672.9363819;779.7167741;769.5080371;1115.935687;0.689563069
gene-LOC117890725;0;1.29E-11;296.279836;2087.024219;1736.073925;2042.513971;2295.96231;2090.64655;2367.842762;2251.483874;1955.204038;1.151533973;1946.566144;2170.84256;1816.800115;1877.891102;1861.916675;1918.192121;1885.999966;1978.069606;0.953454802
gene-LOC117900328;0;1.45E-11;173.4715746;1193.840327;595.8677906;882.950243;1401.306605;764.5096506;1027.256829;1064.357695;890.8861203;1.194718012;1014.969311;1187.366925;740.1437714;977.4435341;791.0783028;765.2775746;844.5998038;980.8266693;0.861110154
gene-LOC117890639;0;1.52E-11;-194.4032364;1327.573872;1550.567914;1144.073373;1142.636736;1281.729164;1014.639549;1146.33515;1340.738386;0.855002856;1495.871437;1171.375452;1191.5855;1604.758041;1479.136851;1260.653189;1448.182694;1286.277463;1.125871155
gene-LOC117893048;0;1.97E-11;424.3708286;2695.170191;2378.786667;3245.229402;3069.83415;2901.305417;3621.159179;3197.432915;2773.062087;1.153033295;2924.078254;3756.996862;2496.261291;2471.165286;2685.12958;2695.68748;2617.327449;3059.112136;0.855584017
gene-LOC117900469;5.46E-06;2.05E-11;28.15559714;0;5.621394251;3.319361816;9.619953813;52.24439526;31.54319843;31.13584917;2.980252022;10.44738798;1.208296799;2.998401326;5.516599538;0;16.06730125;2.221415311;6.096238854;3.241099221;1.880917071
