Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117896180;0;0.126586244;0.029302583;1.14E-07;4421.231859;4315.017952;4668.495972;5029.455048;5237.537782;4978.756914;5029.149207;5219.891864;4826.772427;4580.400005;4763.335128;4943.563143;4762.432759;5025.271166;5081.916582;4468.248594;0.947696672;1.137339715
gene-LOC117898203;0;0.052134522;0.553528679;1.15E-07;4121.955555;4656.915657;4366.20672;3576.298802;3727.567752;4050.850227;4033.452109;3905.509225;4141.757823;4029.180299;4766.087971;4814.144654;4536.470975;4026.906386;3784.905594;4381.692644;1.126539964;0.863799883
gene-LOC117891585;0;0.255526085;0.617941514;1.16E-07;11396.67187;10721.75838;12171.71594;12134.19649;13036.9246;13001.13126;11734.33683;12545.56933;12760.74295;10491.13678;11635.34761;11780.42953;11302.30464;12346.88304;12724.08412;11430.04873;0.915397401;1.113213462
gene-LOC117899406;0;0.001387907;0.606385759;1.27E-07;56.40207266;74.91017143;100.182317;41.01956994;51.00019402;62.62587313;66.17301588;55.46754162;78.58900428;81.95323539;89.92618813;107.1049564;92.9947933;66.74318726;51.5485457;77.1648537;1.393322631;0.668031406
gene-LOC117896739;0;1.03E-05;0.549111179;1.73E-07;776.9673274;698.2012132;776.1951691;947.248217;877.9319114;850.6681101;701.020387;835.9750916;769.4684598;658.9938243;694.6339226;657.1335345;670.2537605;768.8213128;891.9494128;750.4545699;0.871793939;1.188545514
gene-LOC117896217;0;0.538653612;0.578290587;1.93E-07;983.0075521;987.277644;956.5233397;1211.596557;1040.039671;1032.283142;1140.450571;1195.52362;1042.770519;1050.797648;993.7761402;889.1942733;977.9226873;1126.248237;1094.63979;975.6028452;0.868301193;1.122013733
gene-LOC117897402;2.27E-236;7.19E-07;0.001017016;2.01E-07;122.012647;56.66282198;102.7957687;167.8763881;99.26823479;165.9585638;176.8060268;106.973116;187.6752341;144.8214708;100.0199439;182.9709672;142.6041273;157.151459;144.3677289;93.8237459;0.907431138;1.538712055
gene-LOC117892730;0;4.55E-07;0.406493103;2.86E-07;221.0040398;245.8590242;192.5242788;189.1457947;153.0005821;144.0395082;145.7874256;128.7639359;117.2970213;163.9064708;152.3239513;171.8142009;162.681541;130.6161276;162.0619617;219.7957809;1.245493523;0.73732972
gene-LOC117890977;0;0.002181118;0.723932872;3.26E-07;1715.083434;1915.011306;1850.323837;1528.358791;1484.469933;1681.504694;1756.686781;1562.996084;1813.411949;2030.868532;1794.853306;2328.417125;2051.379654;1711.031605;1564.777806;1826.806192;1.198913947;0.856564759
gene-LOC117893296;0;0.000647133;1.02E-06;3.34E-07;2420.684874;2485.481073;2306.806743;2571.319338;2913.386083;2726.31301;2339.836483;2568.345276;2465.583388;2329.49265;2563.813976;2460.066967;2451.124531;2457.921716;2737.006144;2404.32423;0.99723458;1.138368158
