Gene;(Intercept);Selection;WNL-NL;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117892139;1.5501E-146;1.19804E-19;-588.6142711;3097.509745;3165.434936;1105.490089;2332.798135;2547.277548;765.0794168;3053.264311;4995.050222;3303.08412;3601.451769;5665.349852;2522.544858;3929.78216;3783.799551;1.038580957;1881.718367;2456.144924;0.766126766
gene-LOC117893808;0;1.47779E-19;451.1842678;3456.64131;3221.137371;3337.377882;3928.003633;3582.76363;3709.539219;5008.47014;4621.634807;5087.171814;4474.871182;5211.130841;4584.315268;4756.77243;4905.75892;0.969630287;3740.102161;3338.385521;1.120332609
gene-LOC117892575;0;1.82046E-19;-1108.534496;4783.816612;4738.548536;5051.802229;3909.013091;3511.727645;3894.285544;3000.532689;2936.808231;3319.505703;3419.582945;2345.421805;2967.699833;2910.901528;3085.615541;0.943377906;3771.675427;4858.055792;0.776375486
gene-LOC117899322;0;2.00386E-19;-751.0644056;3083.696993;2586.321688;3014.181016;2437.625925;1816.881912;2227.393554;1616.069122;1636.292478;1621.044835;1902.886767;1175.463745;1349.968721;1476.106411;1624.468812;0.908670207;2160.633797;2894.733232;0.746401697
gene-LOC117892244;0;2.90099E-19;540.3710766;3138.948003;2618.014453;3095.19802;3770.761948;3054.547335;3490.348663;3156.659648;3658.876764;3208.073533;3004.203533;3160.263183;2983.319306;3049.262007;3341.203315;0.912623902;3438.552649;2950.720159;1.165326586
gene-LOC117893595;0;3.04151E-19;222.045739;812.6502714;728.9335912;759.643308;1020.171897;979.9322994;915.3815123;1483.72309;1047.94034;1145.991898;1225.93059;1041.492077;917.086189;1061.502952;1225.88511;0.865907371;971.8285696;767.0757235;1.26692651
gene-LOC117902757;0;3.14049E-19;-504.8174383;4483.389245;5039.149609;4800.03971;3994.090718;4480.731332;4313.878894;5013.639906;4084.788244;3920.066452;4895.863829;3756.71239;3879.207639;4177.261286;4339.498201;0.9626139;4262.900315;4774.192855;0.892904925
gene-LOC117890318;0;3.37884E-19;253.930215;987.6118029;945.981011;763.999061;1222.990882;1272.272697;905.9876313;1623.306796;893.4236169;1162.413481;1587.422943;1255.296177;1973.631957;1605.450359;1226.381298;1.309095598;1133.750403;899.1972916;1.260847218
gene-LOC117895202;0;3.42809E-19;-454.7457305;1979.827857;1593.281723;1882.556409;1576.974578;1132.022164;1411.169675;1064.971974;1067.750176;882.0736003;1183.270001;634.9890019;699.5292464;839.2627499;1004.931917;0.83514389;1373.388805;1818.55533;0.755208699
gene-LOC117900307;0;3.50323E-19;-142.1580106;461.5761456;377.4320176;351.9448354;278.7811513;277.7689139;222.3218496;325.6953125;155.5072149;410.5395746;217.7935297;165.1705496;396.0652033;259.6764275;297.2473673;0.873603793;259.6239716;396.9843329;0.653990473
gene-LOC117889900;0;3.63174E-19;284.3242856;1329.477427;1187.038101;1395.583233;1598.243984;1396.130311;1694.029868;1650.189584;1984.945597;1811.066009;1481.894119;1826.052187;1790.66099;1699.535765;1815.400396;0.936176817;1562.801388;1304.03292;1.198437067
gene-LOC117898405;0;5.26499E-19;-1504.329776;7933.124179;9127.516273;7613.856092;6494.765241;7218.348889;6511.003277;5174.936633;4579.043659;4793.929261;5033.949418;5065.230188;6356.009755;5485.06312;4849.303184;1.131103359;6741.372469;8224.832181;0.819636477
gene-LOC117897764;0;6.0335E-19;254.2890479;1055.524503;998.8022857;1078.484421;1293.635697;1286.844181;1252.517463;1345.173338;1480.785263;1225.753873;1262.977943;1310.353027;1067.702534;1213.677835;1350.570825;0.898640643;1277.66578;1044.270403;1.223500902
gene-LOC117902997;0;6.70405E-19;-1475.66569;8372.830133;7855.964132;7961.445174;7025.740785;6156.451993;6629.992436;5811.85191;4919.772844;5048.463797;5919.717948;4744.065231;6147.378226;5603.720468;5260.029517;1.065340118;6604.061738;8063.413147;0.819015672
gene-LOC117897041;0;7.46167E-19;-447.9053327;2151.3362;2400.006646;1879.942957;1704.591018;1832.364114;1575.040709;1795.977009;1323.297064;1400.526434;1968.000296;1275.483689;1782.851253;1675.445079;1506.600169;1.112070152;1703.998614;2143.761934;0.794863733
gene-LOC117891773;0;7.96336E-19;-411.7853707;2372.34024;2532.540026;2867.827718;1958.304654;2079.168624;2509.209984;1752.550967;2297.94101;2627.453277;2036.481767;2700.538486;2339.573891;2358.864715;2225.981752;1.05969634;2182.227754;2590.902661;0.842265434
gene-LOC117892342;0;1.62942E-18;-525.2506633;2683.127171;2280.918681;2290.254882;2215.056777;1718.524395;1771.268445;1866.285839;1486.728214;1584.682758;2045.462944;1341.551909;1626.656525;1671.223792;1645.898937;1.015386641;1901.616539;2418.100245;0.786409308
gene-LOC117894871;0;2.2044E-18;-2424.39656;25092.01596;21231.27128;24647.46343;22503.79184;18619.62441;22404.40611;22209.31846;17685.23135;16533.01515;21819.76826;17331.89634;16064.62778;18405.43079;18809.18832;0.978534027;21175.94079;23656.91689;0.89512682
gene-LOC117902544;0;3.19786E-18;525.2197794;2275.650972;2144.543754;2584.703779;2743.753456;2736.70684;2966.378857;2921.952233;3260.699054;3115.408886;2743.749415;3303.410992;3488.720819;3178.627075;3099.353391;1.025577491;2815.613051;2334.966168;1.205847472
gene-LOC117902614;0;4.90556E-18;-332.6895526;1774.938695;1718.132009;1698.743636;1447.838895;1325.094327;1434.132495;1201.45382;1221.276408;1216.370111;1198.98706;936.884062;1252.904854;1129.591992;1213.033446;0.93121257;1402.355239;1730.60478;0.810326688
gene-LOC117899341;0;4.9227E-18;-1401.068963;40650.93057;36836.59661;36951.59426;38647.27148;35845.85065;35116.4146;39835.12161;38024.98077;32100.67582;39372.35505;38337.00218;37202.23719;38303.86481;36653.59273;1.045023474;36536.51224;38146.37381;0.957797782
