Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;meanWPT9-meanPT9;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;meanWPT23-meanPT23;meanWPT23DIVmeanPT23;meanWPT23DIVmeanPT23.DIV.meanWPT9DIVmeanPT9
gene-LOC117891288;0;2.93E-08;2030.31859;2850.148756;3112.12309;2426.904949;3078.720097;3573.417688;3026.347578;2664.196812;362.1507659;1.135932437;3691.409371;1486.005023;2713.642144;1823.956145;2218.638851;2925.371584;2322.655527;2630.352179;-307.6966527;0.88302074;0.777353222
gene-LOC117898607;0;2.95E-08;2648.4964;3479.226245;3517.575747;2797.202279;3711.356956;3922.550676;3477.036637;3215.099464;261.937173;1.081470939;4094.06835;3184.46416;3655.699196;2758.135931;3025.61018;3437.354205;3073.700105;3644.743902;-571.0437967;0.843324027;0.779793517
gene-LOC117900326;0;3.14E-08;4865.342576;7250.56144;5401.386491;4146.682345;6566.246922;5013.591261;5242.173509;5839.096836;-596.9233264;0.897771292;6891.663286;3655.149795;4884.555859;4974.89162;4223.291901;4338.648071;4512.277198;5143.789646;-631.5124489;0.877228174;0.977117649
gene-LOC117901666;0;3.46E-08;1069.359719;949.3540879;1184.479627;913.3281082;863.2241258;999.6009934;925.3844091;1067.731145;-142.3467355;0.866682979;931.4254393;994.1913541;849.4446783;880.3833266;1042.249249;983.9266684;968.8530814;925.0204906;43.8325908;1.047385535;1.208499025
gene-LOC117896396;0;4.02E-08;3456.131549;3834.973217;3521.560539;3692.177459;4200.404675;3742.788751;3878.456961;3604.221768;274.2351932;1.076087214;4098.493174;3743.183268;3991.294573;3979.230167;3754.865272;3948.484942;3894.19346;3944.323672;-50.13021138;0.987290543;0.917481901
gene-LOC117890903;0;4.09E-08;1568.394255;1802.729521;2084.046577;1367.832994;1690.128646;1808.010113;1621.990584;1818.390117;-196.3995332;0.891992631;1933.648062;2574.098748;2254.563601;2196.2618;2480.531921;2635.730833;2437.508185;2254.10347;183.4047144;1.081364816;1.21230241
gene-LOC117895329;0;4.46E-08;156.2534749;164.8329076;96.63122272;96.08298065;98.82311421;77.93147038;90.94585508;139.2392017;-48.29334666;0.653162715;163.7184858;102.1188286;76.67906241;82.82946913;117.1066572;90.29976351;96.74529661;114.1721256;-17.42682897;0.847363541;1.297323808
gene-LOC117894839;0;4.55E-08;1570.347423;1591.993778;1188.46442;1159.473272;1343.825425;1016.226374;1173.175024;1450.26854;-277.0935167;0.808936408;894.9206418;1092.788844;1100.394337;460.2585965;1079.510458;492.3892765;677.3861104;1029.367941;-351.9818305;0.658060236;0.813488217
gene-LOC117903409;0;4.64E-08;2133.836517;2383.817682;2170.715818;1870.919163;1962.948012;1984.654779;1939.507318;2229.456672;-289.9493544;0.869946181;2216.836794;2301.781872;2535.388219;2635.172595;2731.778931;2710.696674;2692.5494;2351.335628;341.2137719;1.145114873;1.31630542
gene-LOC117900834;0;5.32E-08;16399.77878;21054.79583;22253.07477;17097.37264;22205.63823;24284.48526;21195.83204;19902.54979;1293.282246;1.064980732;21741.37243;16262.7169;23988.59655;12443.20644;17550.02949;23997.58809;17996.94134;20664.22862;-2667.287284;0.870922485;0.817782387
gene-LOC117901613;0;6.28E-08;1006.858329;1224.771098;992.2133797;873.3834983;1054.95786;868.6761232;932.3391606;1074.614269;-142.2751084;0.867603556;1434.749162;1144.435148;1147.19844;1069.09789;976.2436787;1089.560354;1044.967308;1242.127583;-197.1602758;0.841272122;0.969650385
gene-LOC117894151;0;9.59E-08;1504.916281;1726.572544;1066.928243;1363.514658;1534.714517;916.4740917;1271.567756;1432.805689;-161.2379336;0.887466992;1930.329444;1521.218412;1229.852494;1772.721422;1395.698433;961.7776698;1376.732508;1560.466783;-183.7342752;0.88225685;0.994129198
gene-LOC117900458;0;1.17E-07;2139.696022;2133.438582;2037.225263;2341.617809;2274.620911;2303.654264;2306.630995;2103.453289;203.1777058;1.09659245;2577.459945;2433.245191;2648.913065;2511.355348;2747.74802;2576.098914;2611.734094;2553.206067;58.52802691;1.022923346;0.932819979
gene-LOC117891944;0;1.50E-07;11000.24464;11669.75256;11974.30203;10385.59858;11199.95294;11581.65558;11055.7357;11548.09974;-492.3640379;0.957364064;10987.94405;10811.68425;11181.20146;10759.29187;11266.72503;12021.79493;11349.27061;10993.60992;355.6606872;1.032351583;1.078327067
gene-LOC117901678;0;1.53E-07;1078.148977;1039.073265;1039.034694;954.3523022;936.70798;861.4025193;917.4876005;1052.085645;-134.598045;0.872065506;1464.616724;1307.590518;1333.41902;1443.111369;1294.560865;1354.496453;1364.056229;1368.542087;-4.485858249;0.996722163;1.142944144
gene-LOC117892505;0;1.83E-07;4630.962364;4684.175664;4406.184516;5570.65371;5309.419623;4770.445073;5216.839469;4573.774181;643.0652873;1.14059839;5333.019053;6021.489547;6332.495556;6311.263983;5659.445361;6850.003758;6273.571034;5895.668052;377.9029819;1.064098416;0.932929965
gene-LOC117902551;0;1.96E-07;14763.02363;17625.6454;20106.26771;13360.93223;15688.38054;19152.43816;16067.25031;17498.31225;-1431.061937;0.918217145;13979.12503;15809.63795;15074.9045;13531.09039;13966.56578;16766.79194;14754.81604;14954.55583;-199.7397934;0.986643549;1.074520939
gene-LOC117903346;0;2.91E-07;1778.359862;2131.35209;1956.533211;1624.773999;1938.453394;1760.212144;1774.479846;1955.415054;-180.9352083;0.907469666;1472.360166;1189.038774;1479.806321;1233.902916;1526.644968;1761.697273;1507.415052;1380.401754;127.0132986;1.092011835;1.20335905
gene-LOC117890653;0;3.12E-07;2334.036282;2855.364987;2645.902346;2537.022523;3065.205825;2887.620749;2829.949699;2611.767872;218.1818271;1.083537986;2586.309593;3116.384941;3022.350057;3209.001495;3125.683141;3203.085951;3179.256862;2908.348197;270.9086654;1.093148635;1.008869693
gene-LOC117902338;7.05E-236;3.21E-07;363.2893292;671.8505853;812.8977087;320.6364635;538.0369551;690.9923707;516.5552631;616.0125411;-99.45727794;0.838546667;527.6602548;343.9174342;613.4324993;668.6131374;694.1230954;764.9923361;709.2428563;495.0033961;214.2394603;1.432804021;1.708675352
gene-LOC117893621;0;3.28E-07;1136.74403;1440.723072;1395.673639;982.4214876;1262.739793;1285.349718;1176.836999;1324.380247;-147.5432477;0.888594497;1511.077375;1118.611996;1242.79831;1321.855858;1243.459778;1229.269422;1264.861686;1290.829227;-25.96754099;0.979883055;1.102733652
gene-LOC117903621;0;3.43E-07;135.7452064;116.84358;104.6008081;84.20755608;69.26064415;78.97055665;77.47958562;119.0631982;-41.58361254;0.65074336;88.49647879;116.2041842;131.4498213;154.5580816;150.1094424;103.0780319;135.9151853;112.0501614;23.86502387;1.212985181;1.86399932
