Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117902360;0;4.97E-47;0.30077366;5.81E-05;1.208038961;0.728023434;56.47895888;84.16858466;102.655508;52.03861099;57.12489021;67.96682181;139.5780327;142.4534865;222.5727953;160.3092298;163.7984514;195.1241263;186.7168027;154.5619046
gene-LOC117902319;0;2.55E-05;0.870034046;5.93E-05;0.89913945;1.102953506;521.9074163;539.3434307;495.3834606;561.2164046;614.3431176;541.3357455;547.0227309;444.319208;482.0908723;502.0796016;499.8494678;466.3135899;464.2412234;516.3172668
gene-LOC117898849;0;1.21E-30;8.48E-08;5.99E-05;0.975346198;0.841918968;2488.21191;2830.7224;2749.095668;2200.032354;2332.098588;2260.496533;1821.698588;1822.500161;2070.73799;2036.14987;2220.26159;2035.023373;1976.087175;2026.036683
gene-LOC117891930;0;0.060612703;0.009907508;6.01E-05;1.073192133;0.722664737;1853.346576;1626.890143;2020.147382;1433.063287;1312.870284;1229.00006;1257.228603;1527.417939;1606.669206;1546.316112;1311.444375;1282.086773;1472.057973;1371.66303
gene-LOC117891250;0;4.92E-16;0.118225466;6.49E-05;1.042411881;0.90945847;7880.906576;7347.031456;8113.552307;7139.697427;7065.446948;7022.971718;6291.27456;6856.987268;6469.929838;6579.357972;6110.210619;6458.939298;6595.285468;6326.947717
gene-LOC117903603;0;6.73E-53;0.000265746;6.67E-05;1.012030803;0.765230661;536.5501093;413.0905537;315.5008732;386.6869093;344.7537234;236.6844618;261.7088112;247.5977266;236.9904662;210.4058641;171.1958008;166.4618252;217.0166727;214.4368254
gene-LOC117894981;0;9.25E-14;0.53441156;7.13E-05;1.139057095;0.840268487;4456.608218;3653.581063;3966.83486;3461.768522;3005.570978;3680.603304;2822.349925;3422.275426;2577.158682;2650.668584;2370.322106;2934.578667;2978.004258;2614.446872
gene-LOC117897565;0;1.73E-07;5.64E-06;7.44E-05;0.862255724;0.989985802;1129.579178;1230.41181;1213.030223;1132.840531;1186.594211;1217.805525;1422.464362;1188.242971;1167.831347;1321.437887;1449.880486;1260.038849;1205.371056;1397.927578
gene-LOC117899033;0;1.02E-11;0.93124798;8.39E-05;0.917530194;1.097404411;1916.100975;2316.851041;2069.120652;2203.23473;2463.385617;2249.301997;1888.408677;1571.510685;2132.914196;2077.340436;1915.913499;1692.178157;1798.867679;1960.554204
gene-LOC117897194;0;4.23E-14;0.277466247;9.14E-05;0.932074275;1.132175344;3473.455971;3759.899275;3774.708955;4282.377387;4141.053445;4039.628045;4795.942255;4593.559649;4231.586423;4588.851703;5262.685729;4827.392931;4550.846334;4882.493229
gene-LOC117899154;0;8.80E-09;0.95632465;9.15E-05;0.827982282;1.214246146;1206.976269;1266.958695;1208.321255;1686.85159;1448.166076;1336.147756;1874.04035;1452.799446;1721.109469;2274.387198;1760.569161;1718.635666;1630.848194;1969.66557
