Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117891824;0;2.60E-20;5195.428042;5399.842592;3994.754671;6432.161783;4496.029376;6274.002909;5734.064689;4863.341768;590.3925501;1.179037987;5352.930761;5982.754819;6156.233296;5878.330572;6544.132926;6840.633028;6421.032175;5830.639625;590.3925501;1.10125691
gene-LOC117901097;0;3.15E-20;20896.9491;17864.54879;21508.91474;20589.82704;22394.83804;16547.44888;19844.03799;20090.13755;-1274.560364;0.98775023;31967.14055;26885.42263;28923.93984;30426.59427;25515.41139;28010.81626;27984.27398;29258.83434;-1274.560364;0.956438444
gene-LOC117902527;0;2.84E-19;47975.67631;36772.34383;38457.23425;45247.5268;42454.24094;38153.16972;41951.64582;41068.41813;3808.773333;1.021506251;32748.12198;34628.8469;32667.27225;37534.5582;37748.79865;36187.20428;37156.85371;33348.08038;3808.773333;1.114212671
gene-LOC117895767;0;9.40E-19;77222.42048;59318.9818;72776.26128;64092.74601;70634.03204;58332.22512;64353.00106;69772.55452;5727.523272;0.922325426;53198.55202;54209.83884;52410.63707;60579.93668;59345.39545;57076.26561;59000.53258;53273.00931;5727.523272;1.107512666
gene-LOC117899982;0;1.33E-18;31718.47883;26738.4014;32440.19729;30206.76178;31755.1607;29981.79528;30647.90592;30299.02584;3162.884723;1.011514564;42345.5651;39977.76072;39311.46322;46524.54429;42898.29774;41700.60116;43707.8144;40544.92968;3162.884723;1.078009377
gene-LOC117903773;0;2.08E-18;3365.309217;3771.335195;3268.526204;4183.388202;3271.298473;3623.293829;3692.660168;3468.390205;-508.8403211;1.064661111;5585.234018;4739.722181;5633.421507;5033.811552;4306.331167;5091.714023;4810.618914;5319.459235;-508.8403211;0.9043436
gene-LOC117901006;0;2.21E-18;4018.644059;2688.445587;2902.921474;4011.734338;2716.368678;3295.981654;3341.361557;3203.33704;1153.956833;1.043087728;6873.96399;6542.647707;5964.037724;8123.26536;7403.269947;7315.984613;7614.173307;6460.216474;1153.956833;1.178625103
gene-LOC117892153;0;3.92E-18;4633.892116;4711.300067;4127.249028;4578.515966;4493.49545;4778.757764;4616.92306;4490.813737;286.6547105;1.028081619;3779.90585;4597.694845;3720.428275;4057.790076;4854.603244;4045.599782;4319.331034;4032.676323;286.6547105;1.071082995
gene-LOC117891476;0;5.43E-18;1172.877646;3055.668267;2536.320547;1252.317501;1667.323312;2973.86491;1964.501907;2254.955487;-579.6763312;0.871193209;2506.662762;1872.178524;2974.550122;2034.01851;1448.928731;2131.415173;1871.454138;2451.130469;-579.6763312;0.763506538
gene-LOC117900136;0;6.15E-18;22920.43161;23319.68344;24652.91617;18899.19842;25020.83002;24063.15988;22661.06277;23631.0104;-1047.46426;0.958954458;23413.95588;22092.88036;22349.45711;22223.91509;21307.02397;21182.9615;21571.30019;22618.76445;-1047.46426;0.953690474
gene-LOC117897353;0;1.96E-17;3251.048863;3624.237474;3664.016878;3091.928726;3517.933937;3331.310587;3313.724417;3513.101072;-500.7911012;0.943247675;5591.871253;5258.532782;5510.934173;5131.157526;4860.99088;4866.816499;4952.988302;5453.779403;-500.7911012;0.908175402
gene-LOC117903487;0;4.09E-17;8297.059519;7944.320197;8490.597023;6930.929615;9487.018964;8056.035865;8157.994815;8243.992246;-705.3643661;0.989568473;7544.324817;7046.199172;6840.369866;6754.444339;6536.680684;6023.675734;6438.266919;7143.631285;-705.3643661;0.90125969
gene-LOC117889574;0;4.54E-17;10053.93453;8108.109858;7348.953918;9503.578412;7017.285751;9896.257652;8805.707272;8503.666101;975.1433339;1.035518936;5768.864211;7927.70768;6690.995069;6484.60813;8873.490798;7954.898034;7770.998987;6795.855653;975.1433339;1.143490884
gene-LOC117896774;0;5.27E-17;1854.533431;2294.098505;2301.217778;2088.995141;2231.544169;2082.328889;2134.289399;2149.949905;-393.7350189;0.992715874;3240.07733;2923.88508;3176.704014;2728.249009;2628.512151;2802.700207;2719.820456;3113.555475;-393.7350189;0.873541672
gene-LOC117896324;0;6.43E-17;4561.624884;5667.956879;4839.530721;5849.186395;6065.374215;5027.099383;5647.219998;5023.037495;-904.8951453;1.124263955;8792.125168;7763.378531;9673.511847;8118.141887;6928.455682;8467.73254;7838.110037;8743.005182;-904.8951453;0.896500674
gene-LOC117891185;0;7.66E-17;1168.971309;1344.744417;1750.320189;1233.964572;1305.816535;1557.590321;1365.790476;1421.345305;-268.4264819;0.960913911;1314.17271;1813.489542;1927.930712;1072.513538;1570.293812;1607.506167;1416.771173;1685.197655;-268.4264819;0.840715134
gene-LOC117901220;0;7.74E-17;900.4106493;860.6781566;806.9205196;1179.985369;823.5259518;841.6598801;948.3904003;856.0031085;-309.3949863;1.107928687;1498.909109;1159.694283;1504.702121;1206.577731;938.9824696;1089.560354;1078.373518;1387.768504;-309.3949863;0.777055766
gene-LOC117893002;0;1.11E-16;2437.554209;2374.428466;2814.259837;2522.98793;2604.031292;2224.683708;2450.567643;2542.080837;-366.6986313;0.964000675;3272.157303;2855.805861;3209.566469;2826.448895;2608.284638;2802.700207;2745.811247;3112.509878;-366.6986313;0.882185553
